title,year,runtime,genres,rating,metascore,votes,gross,genres_list,main_genre
The Shawshank Redemption,1994.0,142,Drama,9.3,80.0,2343110,28341469.0,['Drama'],Drama
The Godfather,1972.0,175,"Crime, Drama",9.2,100.0,1620367,134966411.0,"['Crime', 'Drama']",Crime
The Dark Knight,2008.0,152,"Action, Crime, Drama",9.0,84.0,2303232,534858444.0,"['Action', 'Crime', 'Drama']",Action
The Godfather: Part II,1974.0,202,"Crime, Drama",9.0,90.0,1129952,57300000.0,"['Crime', 'Drama']",Crime
12 Angry Men,1957.0,96,"Crime, Drama",9.0,96.0,689845,4360000.0,"['Crime', 'Drama']",Crime
The Lord of the Rings: The Return of the King,2003.0,201,"Action, Adventure, Drama",8.9,94.0,1642758,377845905.0,"['Action', 'Adventure', 'Drama']",Action
Pulp Fiction,1994.0,154,"Crime, Drama",8.9,94.0,1826188,107928762.0,"['Crime', 'Drama']",Crime
Schindler's List,1993.0,195,"Biography, Drama, History",8.9,94.0,1213505,96898818.0,"['Biography', 'Drama', 'History']",Biography
Inception,2010.0,148,"Action, Adventure, Sci-Fi",8.8,74.0,2067042,292576195.0,"['Action', 'Adventure', 'Sci-Fi']",Action
Fight Club,1999.0,139,Drama,8.8,66.0,1854740,37030102.0,['Drama'],Drama
The Lord of the Rings: The Fellowship of the Ring,2001.0,178,"Action, Adventure, Drama",8.8,92.0,1661481,315544750.0,"['Action', 'Adventure', 'Drama']",Action
Forrest Gump,1994.0,142,"Drama, Romance",8.8,82.0,1809221,330252182.0,"['Drama', 'Romance']",Drama
"Il buono, il brutto, il cattivo",1966.0,161,Western,8.8,90.0,688390,6100000.0,['Western'],Western
The Lord of the Rings: The Two Towers,2002.0,179,"Action, Adventure, Drama",8.7,87.0,1485555,342551365.0,"['Action', 'Adventure', 'Drama']",Action
The Matrix,1999.0,136,"Action, Sci-Fi",8.7,73.0,1676426,171479930.0,"['Action', 'Sci-Fi']",Action
Goodfellas,1990.0,146,"Biography, Crime, Drama",8.7,90.0,1020727,46836394.0,"['Biography', 'Crime', 'Drama']",Biography
